iter	Passed	Remaining
884	5230	679
885	5235	673
886	5238	667
887	5245	661
888	5247	655
889	5251	649
890	5254	642
891	5257	636
892	5260	630
893	5268	624
894	5270	618
895	5273	612
896	5275	605
897	5284	600
898	5287	594
899	5290	587
900	5300	582
901	5302	576
902	5305	569
903	5307	563
904	5314	557
905	5317	551
906	5319	545
907	5322	539
908	5336	534
909	5339	528
910	5348	522
911	5351	516
912	5354	510
913	5356	503
914	5360	497
915	5362	491
916	5365	485
917	5372	479
918	5379	474
919	5381	467
920	5389	462
921	5392	456
922	5395	450
923	5400	444
924	5407	438
925	5410	432
926	5413	426
927	5434	421
928	5437	415
929	5441	409
930	5445	403
931	5449	397
932	5452	391
933	5455	385
934	5469	380
935	5472	374
936	5475	368
937	5479	362
938	5483	356
939	5486	350
940	5490	344
941	5494	338
942	5497	332
943	5502	326
944	5505	320
945	5514	314
946	5517	308
947	5520	302
948	5525	296
949	5529	291
950	5536	285
951	5542	279
952	5545	273
953	5548	267
954	5551	261
955	5557	255
956	5561	249
957	5565	244
958	5568	238
959	5579	232
960	5582	226
961	5585	220
962	5593	214
963	5596	209
964	5600	203
965	5606	197
966	5609	191
967	5612	185
968	5615	179
969	5622	173
970	5625	168
971	5628	162
972	5631	156
973	5637	150
974	5641	144
975	5644	138
976	5648	132
977	5654	127
978	5657	121
979	5661	115
980	5670	109
981	5673	103
982	5676	98
983	5679	92
984	5682	86
985	5685	80
986	5693	74
987	5700	69
988	5703	63
989	5706	57
990	5708	51
991	5712	46
992	5714	40
993	5721	34
994	5724	28
995	5728	23
996	5731	17
997	5734	11
998	5736	5
999	5739	0
